Age,Gender,Marital,Race_Status,Birth_Place,Language,Occupation,Income_(K)
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",992
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",605
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",413
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",962
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",425
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",962
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",425
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",422
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",415
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",413
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",895
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",895
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",620
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",472
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",582
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",472
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",402
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",961
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",992
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",626
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",962
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",425
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",413
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",414
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",472
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",472
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",443
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",415
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",535
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",472
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",414
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",962
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",406
"[16, 17)","[1, 2)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[2, 5)",626
